run,g,MAE_J2,MAE_JZ,MAE_JDM,MAE_J3,MSE_J2,MSE_JZ,MSE_JDM,MSE_J3,FID_J2,FID_JZ,FID_JDM,FID_J3
1,1.5,0.0725,0.0548,0.1367,0.0793,0.0088,0.0047,0.0335,0.009,0.9559,0.9729,0.7855,0.9649
1,1.6,0.0719,0.0621,0.1272,0.0857,0.0084,0.0061,0.0268,0.0107,0.9616,0.9655,0.8395,0.9577
1,1.7000000000000002,0.0807,0.0673,0.1718,0.0862,0.0103,0.007,0.0494,0.0112,0.9495,0.9592,0.6957,0.9559
1,1.8,0.0814,0.0619,0.1694,0.0958,0.0109,0.0065,0.0493,0.0141,0.9446,0.9615,0.7016,0.944
1,1.9000000000000001,0.0937,0.0674,0.1423,0.0974,0.0143,0.0073,0.0398,0.015,0.9334,0.9589,0.7757,0.9352
1,2.0,0.0884,0.0649,0.1633,0.0998,0.0125,0.0068,0.0456,0.0159,0.9384,0.9608,0.7108,0.9371
1,2.1,0.09,0.0715,0.1705,0.1058,0.0157,0.0078,0.0511,0.0169,0.9275,0.9563,0.6825,0.9323
1,2.2,0.103,0.0771,0.1829,0.1145,0.0182,0.0089,0.0536,0.0207,0.9174,0.9523,0.6999,0.9194
1,2.3000000000000003,0.1087,0.0759,0.1646,0.1204,0.0194,0.0092,0.0455,0.0211,0.9175,0.9495,0.733,0.9138
1,2.4000000000000004,0.1025,0.0848,0.1797,0.1325,0.0157,0.0112,0.0601,0.0251,0.9204,0.9386,0.6227,0.8987
1,2.5,0.1239,0.0909,0.1896,0.1337,0.0225,0.0135,0.0573,0.0259,0.8889,0.9313,0.6667,0.9008
1,2.6,0.1238,0.1022,0.2084,0.1399,0.024,0.0149,0.0726,0.0287,0.874,0.9215,0.6266,0.9003
1,2.7,0.1052,0.0931,0.1934,0.1278,0.0178,0.0132,0.0623,0.0235,0.9108,0.926,0.6313,0.9087
1,2.8000000000000003,0.1288,0.1031,0.1983,0.1373,0.0267,0.017,0.0634,0.0279,0.8512,0.9067,0.6059,0.9058
1,2.9000000000000004,0.1262,0.0993,0.2067,0.1465,0.0261,0.0157,0.0747,0.0305,0.8568,0.9202,0.5965,0.8869
1,3.0,0.125,0.1027,0.2305,0.1483,0.0242,0.016,0.0853,0.0318,0.8785,0.9165,0.524,0.8829
2,0.0,0.0247,0.0199,0.0534,0.0301,0.0011,0.0007,0.0076,0.0017,0.9942,0.9956,0.9584,0.9922
2,0.1,0.0253,0.0202,0.0554,0.0305,0.0012,0.0007,0.0076,0.0017,0.9939,0.9956,0.9575,0.9922
2,0.2,0.0256,0.0211,0.0551,0.0322,0.0012,0.0008,0.0079,0.0019,0.994,0.9952,0.9553,0.9915
2,0.30000000000000004,0.0267,0.021,0.0599,0.0331,0.0013,0.0008,0.0085,0.002,0.9934,0.9954,0.9538,0.9905
2,0.4,0.0299,0.0234,0.0635,0.0346,0.0015,0.001,0.0093,0.0022,0.9925,0.9942,0.9489,0.9897
2,0.5,0.0328,0.0258,0.0703,0.0359,0.002,0.0011,0.0105,0.0023,0.9903,0.9933,0.9402,0.9894
2,0.6000000000000001,0.0307,0.0279,0.0759,0.0373,0.0016,0.0013,0.0127,0.0025,0.9919,0.9922,0.9268,0.988
2,0.7000000000000001,0.0359,0.0314,0.0809,0.0425,0.0021,0.0016,0.0142,0.003,0.99,0.9905,0.9178,0.9855
2,0.8,0.0406,0.0363,0.0992,0.0456,0.0025,0.002,0.0194,0.0032,0.9863,0.988,0.8829,0.9862
2,0.9,0.0488,0.0344,0.0921,0.053,0.0041,0.0018,0.0184,0.0049,0.9784,0.9892,0.889,0.9773
2,1.0,0.0468,0.0355,0.1073,0.0526,0.0037,0.002,0.0232,0.0044,0.9826,0.9883,0.8624,0.98
2,1.1,0.0516,0.0419,0.0928,0.0509,0.0044,0.0026,0.0152,0.0044,0.9791,0.9845,0.9118,0.9807
2,1.2000000000000002,0.0542,0.0435,0.1118,0.059,0.0049,0.003,0.0218,0.0057,0.9758,0.9825,0.8724,0.9753
2,1.3,0.0639,0.0504,0.1239,0.0569,0.0063,0.0039,0.0261,0.0052,0.9698,0.9765,0.8457,0.9792
2,1.4000000000000001,0.0696,0.0491,0.1361,0.0717,0.0089,0.0037,0.0388,0.0086,0.9585,0.9792,0.7722,0.9619
2,1.5,0.065,0.0508,0.142,0.0741,0.0065,0.0041,0.0368,0.0082,0.972,0.9762,0.7729,0.9643
2,1.6,0.0754,0.0543,0.1348,0.075,0.0093,0.0044,0.0326,0.0082,0.9523,0.9741,0.7993,0.969
2,1.7000000000000002,0.0798,0.054,0.1417,0.0807,0.0102,0.0046,0.0366,0.0107,0.9511,0.9733,0.7778,0.9589
2,1.8,0.0859,0.0622,0.1668,0.1019,0.013,0.0062,0.0467,0.0137,0.9408,0.9672,0.7012,0.9503
2,1.9000000000000001,0.0853,0.0685,0.1701,0.0976,0.0121,0.0078,0.0512,0.0145,0.9404,0.9539,0.6716,0.9459
2,2.0,0.0865,0.0756,0.1514,0.0958,0.0119,0.0086,0.0376,0.014,0.9465,0.9528,0.7687,0.9503
2,2.1,0.1005,0.0734,0.1613,0.1044,0.0167,0.0085,0.0464,0.0164,0.9245,0.9573,0.735,0.9383
2,2.2,0.0948,0.0765,0.1797,0.1188,0.0137,0.0093,0.055,0.0189,0.9382,0.951,0.6775,0.9299
2,2.3000000000000003,0.1018,0.0797,0.1919,0.1223,0.0166,0.0107,0.0679,0.0229,0.9163,0.9385,0.6165,0.9124
2,2.4000000000000004,0.1244,0.0879,0.1933,0.1295,0.0237,0.0131,0.0616,0.0254,0.8789,0.928,0.6675,0.8963
2,2.5,0.1139,0.0873,0.1809,0.1207,0.02,0.0112,0.0528,0.0227,0.8931,0.9371,0.6668,0.9161
2,2.6,0.1085,0.0906,0.1922,0.1275,0.0194,0.0126,0.062,0.0249,0.9022,0.9287,0.6052,0.9091
2,2.7,0.1127,0.0954,0.1938,0.1359,0.0202,0.0144,0.0592,0.0277,0.8957,0.9224,0.6292,0.8888
2,2.8000000000000003,0.1298,0.1036,0.2134,0.1519,0.0264,0.0158,0.0754,0.035,0.8543,0.9215,0.5305,0.8615
2,2.9000000000000004,0.124,0.1054,0.207,0.1431,0.0247,0.0165,0.073,0.0314,0.8649,0.913,0.5139,0.8786
2,3.0,0.1318,0.0969,0.239,0.1419,0.0271,0.0147,0.0964,0.0303,0.8622,0.9194,0.4266,0.8911
3,0.0,0.0247,0.0199,0.0534,0.0301,0.0011,0.0007,0.0076,0.0017,0.9942,0.9956,0.9584,0.9922
3,0.1,0.0249,0.0198,0.0554,0.0298,0.0011,0.0007,0.0079,0.0017,0.9942,0.9956,0.956,0.9923
3,0.2,0.0261,0.0225,0.0549,0.0308,0.0013,0.0008,0.0076,0.0018,0.9936,0.995,0.9578,0.9918
3,0.30000000000000004,0.0261,0.0227,0.0625,0.032,0.0013,0.0009,0.0095,0.0019,0.9936,0.9945,0.9461,0.9909
3,0.4,0.0283,0.0247,0.0629,0.0328,0.0013,0.001,0.0093,0.002,0.9934,0.9938,0.9492,0.9906
3,0.5,0.0307,0.0236,0.0706,0.0351,0.0016,0.001,0.0098,0.0022,0.9918,0.9942,0.946,0.9897
3,0.6000000000000001,0.0323,0.0302,0.0732,0.035,0.0018,0.0014,0.0113,0.0023,0.9907,0.9918,0.9362,0.9897
3,0.7000000000000001,0.0343,0.0282,0.0813,0.04,0.0022,0.0012,0.0147,0.0026,0.9895,0.993,0.9138,0.9869
3,0.8,0.0386,0.0347,0.0851,0.044,0.0025,0.0018,0.0155,0.0034,0.9893,0.9895,0.9094,0.9832
3,0.9,0.0441,0.0348,0.099,0.0504,0.0033,0.002,0.0193,0.0043,0.9845,0.9882,0.8827,0.9805
3,1.0,0.049,0.0391,0.0966,0.0512,0.0038,0.0023,0.0194,0.0042,0.9803,0.9866,0.8807,0.9821
3,1.1,0.0591,0.0374,0.096,0.0635,0.0053,0.0024,0.0185,0.0065,0.9735,0.9862,0.8916,0.9692
3,1.2000000000000002,0.062,0.0458,0.1094,0.0628,0.0061,0.0031,0.0221,0.0063,0.9706,0.9816,0.8734,0.9735
3,1.3,0.0629,0.051,0.1146,0.0679,0.0063,0.0041,0.024,0.0069,0.9704,0.9752,0.8543,0.9721
3,1.4000000000000001,0.0669,0.0496,0.1214,0.0701,0.0075,0.0041,0.0272,0.0078,0.9648,0.977,0.8398,0.9685
3,1.5,0.0681,0.0503,0.1174,0.0709,0.0084,0.0041,0.026,0.0082,0.957,0.975,0.842,0.9677
3,1.6,0.0797,0.0579,0.1429,0.0791,0.0101,0.0051,0.0335,0.0103,0.9536,0.9707,0.794,0.9569
3,1.7000000000000002,0.0776,0.0643,0.1388,0.09,0.01,0.007,0.0335,0.0125,0.9527,0.9619,0.796,0.9533
3,1.8,0.0824,0.0588,0.1568,0.0838,0.0107,0.0057,0.044,0.0119,0.9486,0.9696,0.7339,0.952
3,1.9000000000000001,0.0932,0.0644,0.1642,0.097,0.0151,0.0069,0.05,0.0142,0.9239,0.9616,0.6842,0.9471
3,2.0,0.0908,0.0636,0.1538,0.112,0.0133,0.0067,0.0414,0.0189,0.9372,0.9632,0.75,0.9226
3,2.1,0.1074,0.0766,0.1887,0.1122,0.0177,0.0093,0.0639,0.0178,0.9124,0.9508,0.653,0.9314
3,2.2,0.112,0.0781,0.1731,0.1092,0.0199,0.0095,0.0494,0.0194,0.9055,0.9466,0.6953,0.9144
3,2.3000000000000003,0.1084,0.0841,0.1669,0.1193,0.0184,0.0119,0.0471,0.0209,0.9124,0.9342,0.7184,0.9145
3,2.4000000000000004,0.1117,0.0883,0.1776,0.1245,0.019,0.0123,0.0571,0.0229,0.9078,0.9285,0.6887,0.9152
3,2.5,0.1084,0.0852,0.1971,0.115,0.02,0.011,0.0621,0.02,0.903,0.9394,0.5882,0.9279
3,2.6,0.1087,0.0964,0.2127,0.1353,0.0194,0.0146,0.0769,0.0271,0.9008,0.9202,0.5569,0.899
3,2.7,0.1253,0.0908,0.1996,0.1392,0.0253,0.0135,0.066,0.0286,0.8703,0.9266,0.6434,0.8905
3,2.8000000000000003,0.1095,0.1054,0.1826,0.1342,0.0198,0.0162,0.0537,0.0284,0.896,0.911,0.6838,0.8828
3,2.9000000000000004,0.1278,0.1021,0.2176,0.1402,0.0246,0.0154,0.0784,0.0271,0.8685,0.9248,0.5953,0.8873
3,3.0,0.1255,0.1086,0.2108,0.1549,0.0256,0.0184,0.0709,0.0351,0.8616,0.8985,0.5853,0.8632
4,0.0,0.0247,0.0199,0.0534,0.0301,0.0011,0.0007,0.0076,0.0017,0.9942,0.9956,0.9584,0.9922
4,0.1,0.0255,0.0206,0.0543,0.0305,0.0012,0.0008,0.0077,0.0017,0.994,0.9953,0.9576,0.9922
4,0.2,0.0251,0.0218,0.0595,0.0305,0.0012,0.0009,0.0084,0.0017,0.9942,0.9949,0.9537,0.9923
4,0.30000000000000004,0.0279,0.0227,0.0619,0.0312,0.0013,0.0009,0.0092,0.0018,0.9933,0.9948,0.948,0.9917
4,0.4,0.0272,0.0243,0.0651,0.0327,0.0014,0.001,0.0105,0.0021,0.9932,0.9942,0.9402,0.9899
4,0.5,0.0327,0.0265,0.0756,0.0366,0.0018,0.0012,0.0124,0.0023,0.9907,0.9931,0.9276,0.9893
4,0.6000000000000001,0.0319,0.0272,0.0776,0.0363,0.0018,0.0012,0.0128,0.0022,0.9905,0.9925,0.9278,0.9903
4,0.7000000000000001,0.0361,0.0279,0.0913,0.0397,0.0022,0.0013,0.0166,0.0026,0.9894,0.9924,0.9033,0.9872
4,0.8,0.0415,0.0343,0.085,0.0461,0.0031,0.0019,0.0142,0.0032,0.9851,0.9889,0.9169,0.9864
4,0.9,0.0434,0.0348,0.0983,0.0469,0.0031,0.002,0.0189,0.0037,0.9851,0.9883,0.8866,0.9839
4,1.0,0.0436,0.0366,0.0969,0.0508,0.0031,0.0021,0.0187,0.0041,0.9846,0.9873,0.8863,0.9811
4,1.1,0.0538,0.0421,0.0956,0.0544,0.0047,0.0029,0.0188,0.0045,0.9766,0.9829,0.8874,0.9813
4,1.2000000000000002,0.0588,0.042,0.0981,0.0574,0.0055,0.003,0.0183,0.0053,0.9741,0.9823,0.891,0.9781
4,1.3,0.0594,0.0463,0.1203,0.0601,0.006,0.0034,0.0289,0.0057,0.9713,0.9802,0.8202,0.9778
4,1.4000000000000001,0.0638,0.0552,0.1147,0.0686,0.0071,0.0048,0.0225,0.0068,0.9648,0.9724,0.8693,0.9742
4,1.5,0.0719,0.0498,0.1359,0.0806,0.008,0.0037,0.0341,0.0095,0.9614,0.9775,0.7877,0.961
4,1.6,0.0767,0.0578,0.1313,0.0813,0.0095,0.0053,0.0314,0.0094,0.951,0.9693,0.8067,0.9608
4,1.7000000000000002,0.0757,0.0616,0.1369,0.0808,0.0105,0.006,0.0329,0.0113,0.9517,0.9638,0.7983,0.9546
4,1.8,0.0867,0.0658,0.1561,0.0955,0.0124,0.0062,0.041,0.0139,0.9398,0.9636,0.752,0.9408
4,1.9000000000000001,0.0869,0.0626,0.1518,0.0996,0.012,0.0067,0.0394,0.0155,0.9414,0.9628,0.7483,0.9407
4,2.0,0.0977,0.066,0.1527,0.1083,0.0151,0.0066,0.0394,0.017,0.9264,0.9648,0.7777,0.9356
4,2.1,0.1072,0.0747,0.1763,0.1008,0.0188,0.0092,0.0524,0.0161,0.9083,0.9482,0.7059,0.94
4,2.2,0.0985,0.0863,0.1728,0.1116,0.016,0.0113,0.0507,0.0193,0.9225,0.9379,0.7057,0.9216
4,2.3000000000000003,0.106,0.0746,0.1771,0.1148,0.0181,0.0084,0.0543,0.0209,0.9177,0.9536,0.6664,0.916
4,2.4000000000000004,0.111,0.0816,0.1976,0.1084,0.0205,0.0102,0.0629,0.0181,0.9047,0.9438,0.6072,0.9305
4,2.5,0.1108,0.0872,0.1836,0.1299,0.0183,0.0111,0.0572,0.027,0.9013,0.9381,0.6497,0.8978
4,2.6,0.1167,0.0915,0.1935,0.1338,0.023,0.0128,0.0721,0.0263,0.8729,0.9293,0.5747,0.9047
4,2.7,0.1079,0.0917,0.1854,0.1246,0.0199,0.0131,0.0627,0.0236,0.9067,0.9302,0.5894,0.9069
4,2.8000000000000003,0.1267,0.0946,0.1818,0.1412,0.0249,0.014,0.0528,0.029,0.8652,0.9243,0.6795,0.8864
4,2.9000000000000004,0.1301,0.1035,0.2486,0.1525,0.0272,0.0173,0.0987,0.0338,0.868,0.9097,0.4442,0.861
4,3.0,0.1307,0.105,0.2163,0.1426,0.0266,0.0168,0.0776,0.0304,0.8611,0.9237,0.5016,0.8813
5,0.0,0.0247,0.0199,0.0534,0.0301,0.0011,0.0007,0.0076,0.0017,0.9942,0.9956,0.9584,0.9922
5,0.1,0.0255,0.0203,0.0542,0.03,0.0012,0.0008,0.0076,0.0017,0.994,0.9954,0.9586,0.9923
5,0.2,0.0253,0.0216,0.0544,0.0312,0.0012,0.0008,0.0079,0.0018,0.9939,0.9951,0.9566,0.9919
5,0.30000000000000004,0.0274,0.0218,0.0621,0.0319,0.0013,0.0009,0.009,0.0019,0.9932,0.9948,0.9493,0.991
5,0.4,0.0287,0.0243,0.0678,0.033,0.0014,0.001,0.0102,0.0019,0.9932,0.994,0.9419,0.9912
5,0.5,0.0297,0.0268,0.0673,0.038,0.0015,0.0011,0.0098,0.0024,0.9924,0.9932,0.9454,0.9883
5,0.6000000000000001,0.0338,0.0271,0.0807,0.0363,0.0021,0.0012,0.0136,0.0024,0.9896,0.9929,0.9206,0.9888
5,0.7000000000000001,0.0349,0.0331,0.0857,0.039,0.0021,0.0018,0.0158,0.0027,0.9901,0.9894,0.9068,0.9864
5,0.8,0.038,0.0318,0.083,0.0423,0.0024,0.0015,0.0135,0.0031,0.9884,0.9912,0.9207,0.9855
5,0.9,0.041,0.0366,0.1011,0.051,0.0027,0.0021,0.0215,0.004,0.9874,0.9871,0.8675,0.9832
5,1.0,0.0477,0.0384,0.0925,0.0507,0.0038,0.0023,0.0164,0.0044,0.9817,0.9868,0.9022,0.9824
5,1.1,0.0513,0.0462,0.098,0.0555,0.0043,0.0032,0.0185,0.0052,0.9807,0.9823,0.8881,0.9778
5,1.2000000000000002,0.0616,0.047,0.1089,0.0591,0.006,0.0035,0.0233,0.0057,0.9738,0.9792,0.8703,0.9744
5,1.3,0.0552,0.0434,0.1132,0.0667,0.005,0.003,0.0251,0.0071,0.9761,0.9822,0.8511,0.9693
5,1.4000000000000001,0.0644,0.0542,0.1179,0.0757,0.007,0.0045,0.0253,0.0083,0.9693,0.9749,0.8626,0.9662
5,1.5,0.0731,0.0512,0.143,0.0778,0.0082,0.0046,0.041,0.0092,0.9632,0.9742,0.7592,0.9593
5,1.6,0.0776,0.057,0.1355,0.0765,0.0088,0.005,0.0319,0.0085,0.9591,0.971,0.8038,0.9649
5,1.7000000000000002,0.0825,0.0641,0.1486,0.0824,0.0104,0.0065,0.0376,0.0108,0.9464,0.9631,0.774,0.9566
5,1.8,0.0828,0.0687,0.1535,0.0915,0.0119,0.0074,0.0432,0.0134,0.9518,0.9574,0.7464,0.9449
5,1.9000000000000001,0.0958,0.0676,0.1555,0.0926,0.0155,0.007,0.0434,0.0128,0.9242,0.9593,0.7329,0.9543
5,2.0,0.0959,0.0776,0.1656,0.1022,0.0154,0.0093,0.0488,0.0148,0.9229,0.948,0.6913,0.9534
5,2.1,0.1045,0.0754,0.1728,0.0992,0.0167,0.0084,0.0475,0.015,0.9168,0.954,0.7132,0.9506
5,2.2,0.101,0.0755,0.1836,0.1185,0.0179,0.0092,0.0535,0.0213,0.9101,0.948,0.6999,0.9163
5,2.3000000000000003,0.1062,0.0849,0.1891,0.1174,0.0187,0.0114,0.0646,0.0215,0.9067,0.9327,0.5896,0.916
5,2.4000000000000004,0.1051,0.0765,0.194,0.1252,0.0182,0.0097,0.068,0.0234,0.913,0.9465,0.606,0.9152
5,2.5,0.1111,0.0838,0.2101,0.1359,0.0199,0.0108,0.0698,0.0281,0.9016,0.9428,0.5786,0.882
5,2.6,0.1207,0.0906,0.1966,0.134,0.0242,0.0125,0.0636,0.0273,0.8725,0.9299,0.6298,0.8983
5,2.7,0.1357,0.0967,0.2026,0.1378,0.0272,0.0146,0.065,0.0296,0.8609,0.9222,0.6256,0.8865
