run,g,MAE_J2,MAE_JZ,MAE_JDM,MAE_J3,MSE_J2,MSE_JZ,MSE_JDM,MSE_J3,FID_J2,FID_JZ,FID_JDM,FID_J3
1,1.5,0.0908,0.0823,0.1833,0.1193,0.0134,0.011,0.0541,0.0204,0.931,0.9423,0.674,0.9282
1,1.6,0.098,0.0916,0.2089,0.1391,0.0148,0.0135,0.0746,0.03,0.9211,0.9342,0.5642,0.8742
1,1.7000000000000002,0.1095,0.0983,0.1915,0.1447,0.0193,0.0154,0.0594,0.0311,0.891,0.9149,0.6763,0.891
1,1.8,0.1216,0.1064,0.202,0.1444,0.022,0.0166,0.0635,0.0322,0.8783,0.9185,0.6001,0.879
1,1.9000000000000001,0.1254,0.1039,0.2199,0.1683,0.0259,0.0176,0.0794,0.0411,0.846,0.9063,0.5001,0.8118
1,2.0,0.1309,0.105,0.2164,0.1594,0.0257,0.0171,0.0725,0.0431,0.8488,0.9088,0.5956,0.8283
1,2.1,0.1447,0.1227,0.2441,0.1698,0.0307,0.0226,0.0926,0.0434,0.8081,0.8779,0.5023,0.8537
1,2.2,0.1422,0.1159,0.2106,0.168,0.0286,0.0216,0.0733,0.0418,0.839,0.8808,0.5587,0.8282
1,2.3000000000000003,0.1457,0.1209,0.2445,0.1708,0.0331,0.0217,0.0948,0.044,0.7873,0.8854,0.4445,0.8258
1,2.4000000000000004,0.1363,0.1313,0.2437,0.1916,0.0281,0.0267,0.0894,0.0535,0.8352,0.8585,0.4941,0.7607
1,2.5,0.1529,0.1345,0.2491,0.2017,0.0377,0.0279,0.096,0.0644,0.7601,0.846,0.4253,0.7227
1,2.6,0.1575,0.1435,0.2549,0.197,0.0381,0.033,0.1,0.0608,0.76,0.8015,0.461,0.7144
1,2.7,0.1611,0.1434,0.2523,0.2104,0.0402,0.0314,0.0982,0.0683,0.7524,0.8217,0.4295,0.6841
1,2.8000000000000003,0.1645,0.1513,0.2756,0.1986,0.0423,0.0335,0.1125,0.0609,0.7156,0.7983,0.3576,0.6887
1,2.9000000000000004,0.165,0.1342,0.287,0.2231,0.0414,0.0285,0.1166,0.07,0.7494,0.8507,0.3181,0.7413
1,3.0,0.1785,0.1474,0.2842,0.2268,0.0473,0.0337,0.1225,0.0777,0.6758,0.8051,0.3142,0.5997
2,0.0,0.0207,0.022,0.0506,0.0245,0.0008,0.0009,0.0072,0.0012,0.9955,0.9945,0.9598,0.994
2,0.1,0.0206,0.0231,0.0558,0.0249,0.0008,0.0009,0.0078,0.0013,0.9955,0.9945,0.9576,0.9939
2,0.2,0.0245,0.0253,0.0597,0.0269,0.001,0.0011,0.0082,0.0015,0.9941,0.9934,0.9537,0.9926
2,0.30000000000000004,0.0262,0.0277,0.0713,0.03,0.0011,0.0013,0.0119,0.0015,0.9941,0.992,0.931,0.9923
2,0.4,0.0305,0.0286,0.0848,0.0367,0.0015,0.0015,0.0145,0.0022,0.9918,0.9909,0.9167,0.9891
2,0.5,0.034,0.0328,0.0956,0.0381,0.0018,0.0017,0.0178,0.0025,0.9898,0.9899,0.8961,0.9877
2,0.6000000000000001,0.0405,0.0392,0.1011,0.0477,0.0026,0.0026,0.0194,0.0034,0.9857,0.9846,0.8864,0.9837
2,0.7000000000000001,0.0454,0.0408,0.1155,0.0537,0.0034,0.0027,0.0247,0.0048,0.9806,0.9837,0.8478,0.9775
2,0.8,0.0506,0.0481,0.1272,0.0667,0.004,0.0036,0.0296,0.0066,0.9778,0.9797,0.8303,0.9721
2,0.9,0.0614,0.0469,0.1308,0.0727,0.0058,0.0035,0.0312,0.0086,0.9689,0.9802,0.8091,0.962
2,1.0,0.0648,0.0607,0.1429,0.0826,0.0061,0.0056,0.0402,0.0111,0.9691,0.9665,0.7597,0.955
2,1.1,0.0677,0.0673,0.147,0.0861,0.0076,0.0071,0.0404,0.0119,0.963,0.9581,0.7346,0.9535
2,1.2000000000000002,0.0736,0.0711,0.1534,0.094,0.0086,0.0085,0.0426,0.0135,0.9524,0.9544,0.7494,0.945
2,1.3,0.0842,0.076,0.1643,0.1043,0.0105,0.0088,0.0458,0.018,0.9493,0.951,0.7053,0.9293
2,1.4000000000000001,0.0865,0.0698,0.1948,0.1137,0.0125,0.0082,0.0649,0.0198,0.9331,0.9552,0.6221,0.9293
2,1.5,0.1105,0.0886,0.1853,0.1221,0.0201,0.012,0.0576,0.0222,0.8843,0.9371,0.6265,0.9107
2,1.6,0.116,0.0913,0.2008,0.1401,0.0204,0.0125,0.0698,0.0294,0.8844,0.9359,0.5918,0.8885
2,1.7000000000000002,0.1128,0.0992,0.2176,0.1332,0.019,0.0147,0.0732,0.027,0.8918,0.9209,0.5292,0.8909
2,1.8,0.1188,0.1097,0.1968,0.1459,0.0207,0.0181,0.0621,0.0318,0.8779,0.907,0.6204,0.8775
2,1.9000000000000001,0.1243,0.1077,0.2269,0.1745,0.0249,0.0182,0.0781,0.0458,0.8598,0.911,0.5412,0.8155
2,2.0,0.1297,0.104,0.2118,0.1623,0.0274,0.0163,0.0715,0.0437,0.838,0.927,0.5884,0.8124
2,2.1,0.1426,0.1085,0.1975,0.1691,0.0306,0.0202,0.0607,0.0443,0.8154,0.8918,0.6047,0.8258
2,2.2,0.1364,0.1191,0.2502,0.1849,0.0277,0.0221,0.0995,0.0517,0.842,0.8828,0.424,0.7835
2,2.3000000000000003,0.1436,0.118,0.2365,0.1852,0.0318,0.022,0.0891,0.0549,0.7938,0.8872,0.4183,0.7382
2,2.4000000000000004,0.1475,0.1224,0.2449,0.1971,0.0347,0.0243,0.0905,0.0562,0.7835,0.8627,0.4477,0.7354
2,2.5,0.1659,0.1322,0.2176,0.1885,0.0419,0.0275,0.0889,0.0566,0.7432,0.8517,0.5594,0.7543
2,2.6,0.1647,0.137,0.2686,0.2125,0.041,0.0295,0.1134,0.0683,0.7324,0.8271,0.3422,0.6965
2,2.7,0.1536,0.1435,0.2813,0.2124,0.0353,0.0327,0.1215,0.0647,0.7905,0.8324,0.2647,0.7193
2,2.8000000000000003,0.1668,0.1539,0.2327,0.2046,0.0401,0.0369,0.0924,0.0604,0.7444,0.8013,0.519,0.7152
2,2.9000000000000004,0.1696,0.1376,0.2788,0.2031,0.0431,0.0281,0.1147,0.065,0.7146,0.8428,0.2993,0.6983
2,3.0,0.1878,0.1489,0.2721,0.2131,0.0489,0.0324,0.1263,0.0716,0.6681,0.8297,0.3544,0.673
3,0.0,0.0207,0.022,0.0506,0.0245,0.0008,0.0009,0.0072,0.0012,0.9955,0.9945,0.9598,0.994
3,0.1,0.0212,0.0232,0.0551,0.0252,0.0009,0.001,0.0078,0.0013,0.9951,0.994,0.9556,0.9939
3,0.2,0.023,0.0243,0.0581,0.0276,0.0009,0.0011,0.0083,0.0014,0.9952,0.9937,0.9548,0.9931
3,0.30000000000000004,0.0233,0.0314,0.0707,0.027,0.001,0.0016,0.0101,0.0013,0.9945,0.9905,0.943,0.9933
